window,score
167,16.31889621544222
1172,16.319179468581805
665,16.320547779306928
1186,16.322978186058798
768,16.32328167075088
886,16.328189495195385
1049,16.32888724437909
526,16.333396716613002
281,16.334140071337217
838,16.33571686836266
174,16.33995837598843
1073,16.340067557857555
658,16.341692114252304
11,16.343057938923945
814,16.349500055155318
588,16.34974766313714
467,16.351144957182225
769,16.35395163238675
787,16.354190606282234
290,16.35673718340281
1100,16.357635830106187
1090,16.358998161508563
166,16.364065075725538
472,16.36476536453247
1055,16.366443408871056
1052,16.367241646932015
49,16.36893019684147
696,16.36898623993473
1080,16.369025358881437
719,16.369226495982915
387,16.369334979062817
1137,16.37151176753296
1154,16.37187062458656
1051,16.371881303805406
481,16.373401640090126
1103,16.375488821156033
869,16.37592305930689
140,16.376470887598224
661,16.378664362310023
312,16.38336697843583
626,16.383793338915495
1113,16.38442257603648
641,16.384484450718624
151,16.39025646165721
802,16.397045090777837
913,16.397231796392347
872,16.397506934027255
163,16.39928190351979
674,16.39994417619838
785,16.401183822465818
450,16.4040329852354
896,16.405079070065025
1132,16.40767822527279
155,16.416893156397755
210,16.417241106130163
203,16.42005843779728
573,16.42159881969157
414,16.421678646148763
523,16.422955059866528
248,16.423378302875637
120,16.423528923823984
1179,16.424440221170194
606,16.42575664106273
320,16.428900306288135
894,16.429181302512387
813,16.429443415832655
609,16.43232072179001
332,16.43311274290302
24,16.43379195238307
750,16.43392582313945
1157,16.434147808212384
649,16.435801715381835
308,16.43668213456311
718,16.438827837766564
935,16.440290542929336
621,16.445326449116223
587,16.447744075793207
256,16.44828985190293
873,16.448470247620737
1139,16.44847654735354
1054,16.450752283320284
343,16.45515869054376
75,16.4553781481983
984,16.46035794743677
716,16.46303098398218
211,16.4636341758979
160,16.46472688460403
266,16.464987385571693
206,16.46499147187019
344,16.465807294330652
158,16.466045119811906
1180,16.46694197043786
767,16.46843340770802
1174,16.469144970844738
1192,16.47038494994541
968,16.472632762345324
689,16.47623579375194
1096,16.47725055260225
79,16.481020255224557
664,16.48125258582579
1126,16.488972466086064
794,16.48962881769145
1042,16.49247415294828
262,16.49301008069073
69,16.49366309019736
162,16.49412243652202
199,16.495488447782837
928,16.49663931941344
1173,16.498280407804476
854,16.498813508682385
1116,16.49949538760256
21,16.50132558073738
765,16.502007312231765
911,16.502629728901464
169,16.50338964334656
136,16.504530206187447
110,16.505133338535757
851,16.506331821096936
863,16.506591684184038
688,16.509542443567387
933,16.509810505933515
7,16.50995434376839
1008,16.512576348060204
796,16.519512494171018
907,16.519621565331864
862,16.52149306775996
1007,16.52251150030845
1166,16.52265053605904
480,16.52849827366896
993,16.528822337235344
748,16.530231608598356
1010,16.531805456596192
124,16.532146698682016
850,16.53337880941571
995,16.533453398670336
815,16.534672398175875
242,16.534848789425638
923,16.537247094448507
219,16.537377108967473
446,16.53803176992292
132,16.538847184818817
548,16.53985952207408
676,16.539954439165818
92,16.54026209586859
515,16.540949327295834
429,16.54367193883612
186,16.545117160359034
