window,score
940,16.755712330853306
1020,16.75932371631559
382,16.7667590729509
710,16.78859512435375
403,16.79351511800989
135,16.80052603249657
271,16.80345073570121
1154,16.806843570672637
1062,16.80978199164088
957,16.81657648412
460,16.817097269309407
941,16.821068890212626
964,16.822931904393748
590,16.82414709016659
571,16.82684793323325
935,16.834667655448133
425,16.836015461046095
1046,16.838439447016523
492,16.83924074621151
497,16.84427096432895
813,16.845009827259183
686,16.850607724610537
407,16.852235143135935
682,16.852649951822496
984,16.852977698140144
801,16.85308482377184
61,16.858144339829064
693,16.863463027025006
1153,16.865252293643188
1125,16.866560524147552
638,16.868905258744395
446,16.869841926094207
1170,16.87919526483023
844,16.880834377829807
52,16.887623745046948
814,16.888638187463055
939,16.88923019947947
639,16.89021290417526
259,16.894430233189038
203,16.895041361685834
593,16.89596293074601
1014,16.89777613079017
408,16.900112389759972
468,16.90123875138086
596,16.905852032274446
370,16.906029232392438
584,16.912937589319366
91,16.913330116599425
771,16.917736603878208
990,16.918258484768153
406,16.918344191819855
753,16.92165628932437
397,16.92415895563714
641,16.925087838644433
377,16.9275090563324
616,16.928678486708108
870,16.930732909724036
449,16.930877768856423
880,16.932280049242895
690,16.934910498814475
1126,16.936709237335375
1022,16.942235344287592
574,16.942475050068133
420,16.942738457006673
1066,16.948323289528812
842,16.949663023650306
751,16.950438285968467
1175,16.954102913880277
538,16.957009762533666
976,16.959410027304948
1000,16.965213908563882
970,16.96713463060624
681,16.969699095231867
860,16.971971803421408
663,16.97461515972999
1167,16.975319684043633
334,16.98049439210181
1104,16.98143876867635
622,16.98164467129941
142,16.983557692768176
999,16.983583263477957
962,16.984364485783964
98,16.985644434220372
1068,16.985861626698785
971,16.988266312013657
133,16.991266946081595
1058,16.993294976701637
159,16.993599688829224
129,16.99514447212849
362,16.99611316878404
445,17.001636414331998
1101,17.002147929407396
1055,17.00469015351198
881,17.004815371050235
287,17.005963598385353
628,17.005984508649437
87,17.009634485364337
482,17.01144407784895
893,17.01202882022221
606,17.0126848466233
589,17.012733953463776
410,17.016278892336185
