timewindow,port,external_ips,new_external_ips,num_conns,internal_ips,min_duration,max_duration,mean_duration,variance_duration,min_orig_bytes,max_orig_bytes,mean_orig_bytes,variance_orig_bytes,min_resp_bytes,max_resp_bytes,mean_resp_bytes,variance_resp_bytes,min_orig_pkts,max_orig_pkts,mean_orig_pkts,variance_orig_pkts,min_resp_pkts,max_resp_pkts,mean_resp_pkts,variance_resp_pkts,S0_count,S1_count,SF_count,REJ_count,S2_count,S3_count,RSTO_count,RSTR_count,RSTOS0_count,RSTRH_count,SH_count,SHR_count,OTH_count,failed_conn_count,zero_resp_bytes_count,label
20,443,9,2,15,8,1.4000000000000001e-05,224.163902,16.509710933333334,3084.1799756587457,0.0,1180.0,346.13333333333327,154517.31555555554,0.0,16223.0,4975.866666666667,39065690.248888895,1.0,17.0,7.2666666666666675,44.32888888888888,1.0,18.0,7.333333333333332,42.755555555555546,0,0,6,6,0,1,1,0,0,0,0,0,1,9,7,False
21,443,9,1,12,8,7e-05,230.412293,23.98743875,3912.230993060039,0.0,2112.0,817.4166666666665,286227.74305555556,1.0,40975.0,10854.0,127255688.5,1.0,26.0,14.333333333333336,44.055555555555564,1.0,38.0,14.583333333333336,76.9097222222222,0,0,10,0,0,0,1,0,0,0,0,0,1,2,0,False
22,443,10,0,13,8,0.307167,246.417383,26.22093038461539,4095.5807883646758,0.0,2291.0,1058.0,340280.76923076925,0.0,270883.0,34687.38461538462,4850853753.467455,5.0,122.0,24.84615384615385,842.8994082840236,4.0,196.0,32.230769230769226,2328.023668639053,0,0,11,0,0,0,2,0,0,0,0,0,0,2,1,False
23,443,15,1,19,12,0.029604000000000002,391.305079,46.64610752631578,9260.271523009716,118.0,4624.0,1066.157894736842,1691433.5013850415,104.0,16223.0,4931.684210526316,29108906.11080332,4.0,24.0,11.894736842105265,20.199445983379494,6.0,26.0,11.105263157894735,25.0415512465374,0,0,16,0,0,1,2,0,0,0,0,0,0,3,0,False
24,443,8,0,9,6,0.129148,20.610834,4.102559888888889,38.40585156082386,120.0,1558.0,833.4444444444445,227723.5802469136,118.0,34137.0,9897.555555555555,117482216.24691358,6.0,27.0,13.666666666666664,41.111111111111114,5.0,27.0,12.666666666666664,44.444444444444436,0,0,7,0,0,0,2,0,0,0,0,0,0,2,0,False
25,443,13,2,17,9,0.464634,240.047749,46.79382452941177,7430.380197667673,0.0,2112.0,655.4705882352941,246301.1903114187,0.0,16373.0,5821.176470588235,36453869.32179931,3.0,21.0,11.058823529411764,26.055363321799305,3.0,19.0,10.058823529411764,26.99653979238755,0,0,13,0,0,0,1,2,0,0,0,0,1,4,3,False
26,443,13,3,18,10,0.00011999999999999999,241.26199,21.1154815,3054.496759249449,0.0,2291.0,741.3333333333335,283548.7777777778,0.0,40975.0,8135.666666666668,98149519.7777778,1.0,26.0,11.944444444444445,39.496913580246904,0.0,38.0,11.5,73.91666666666667,1,0,13,0,0,0,1,2,0,0,0,0,1,5,3,False
27,443,14,1,17,11,0.19364800000000001,30.587623999999998,7.1540434117647065,86.35529546504225,0.0,1723.0,830.9411764705882,189528.76124567472,0.0,40975.0,10346.35294117647,97137635.99307959,5.0,26.0,13.823529411764708,27.20415224913495,3.0,38.0,14.764705882352944,55.9446366782007,0,0,14,0,0,0,3,0,0,0,0,0,0,3,1,False
28,443,9,0,18,8,0.25945799999999997,361.22398,39.722523833333334,10007.27079930062,405.0,3976.0,955.8333333333335,630486.9166666667,633.0,31060.0,6734.333333333332,58679699.44444446,7.0,32.0,13.611111111111109,46.34876543209877,8.0,32.0,13.5,52.805555555555564,0,0,17,0,0,0,1,0,0,0,0,0,0,1,0,False
29,443,6,0,7,6,0.10231599999999999,298.08369700000003,44.78539899999999,10698.757378224152,554.0,4334.0,1248.7142857142858,1622620.4897959188,1420.0,20870.0,9087.0,50961960.0,8.0,24.0,15.142857142857142,29.836734693877553,7.0,19.0,13.857142857142858,21.551020408163268,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,False
30,443,8,0,14,8,0.59009,410.037201,122.99449935714287,19276.59319591694,117.0,19174.0,2156.6428571428573,22774917.943877555,131.0,16223.0,5397.142857142857,30734668.55102041,8.0,47.0,16.214285714285715,79.45408163265307,6.0,46.0,14.142857142857142,86.55102040816324,0,0,8,0,0,0,6,0,0,0,0,0,0,6,0,False
31,443,10,2,13,9,0.000113,120.73341,13.861199076923079,997.5773002149688,0.0,1848.0,721.5384615384614,256915.47928994085,1.0,40975.0,9028.153846153846,116466323.36094674,1.0,48.0,15.076923076923075,123.76331360946745,1.0,40.0,14.692307692307693,117.13609467455622,0,0,11,0,0,0,1,0,0,0,0,0,1,2,0,False
32,443,11,2,16,10,1.4000000000000001e-05,20.567857,5.072587133333331,42.92120726345838,0.0,1721.0,674.7333333333332,317863.79555555555,0.0,40975.0,9238.266666666666,125863634.32888892,1.0,26.0,11.25,60.56249999999999,0.0,38.0,11.25,95.5625,2,0,10,2,0,0,2,0,0,0,0,0,0,6,4,False
33,443,17,2,25,12,0.249335,305.984141,39.21662464,7414.858483771025,0.0,6394.0,1121.28,1858674.8416,0.0,27569.0,7042.68,62994970.2976,2.0,27.0,12.92,43.9936,0.0,27.0,12.08,48.073600000000006,2,0,21,0,0,0,2,0,0,0,0,0,0,4,3,False
34,443,9,1,12,9,0.5848909999999999,184.915411,29.86775033333333,3130.8059260940026,0.0,2480.0,799.6666666666665,400164.7222222222,0.0,16223.0,6925.083333333332,30653519.24305556,3.0,17.0,11.083333333333336,14.743055555555555,0.0,18.0,10.0,25.16666666666667,0,0,9,0,0,0,1,0,0,0,1,0,1,3,1,False
35,443,5,0,6,4,0.586971,61.921642000000006,12.674405333333333,488.6702301276941,554.0,753.0,645.0,6474.999999999999,2732.0,16223.0,10310.833333333334,32657203.472222224,10.0,17.0,13.5,8.583333333333334,6.0,18.0,12.333333333333336,14.888888888888891,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,False
36,443,10,1,16,10,1.4000000000000001e-05,480.51555999999994,34.6209921875,13287.980861744352,0.0,10329.0,1347.0625,5690898.308593749,1.0,40975.0,8789.5625,100989604.37109376,1.0,73.0,16.375,241.10937500000003,1.0,64.0,15.9375,227.05859375,0,0,13,0,0,0,2,0,0,0,0,0,1,3,0,False
